Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw
S1008145_R.JPG,33.01462,-87.639767,142.755997,1.41013,-89.998936,61.302111
S1008148_R.JPG,33.014774,-87.63986,142.684006,-17.322807,-89.997344,241.288817
S1008151_R.JPG,33.014721,-87.63999,142.740005,-4.315242,-89.983353,240.265147
S1008154_R.JPG,33.01466,-87.640121,142.738998,-4.696906,-89.996438,241.779564
S1008157_R.JPG,33.014599,-87.640249,143.153,-1.776695,-89.995197,240.020634
S1008160_R.JPG,33.014538,-87.640378,143.074005,1.240899,-89.998336,240.210378
S1008163_R.JPG,33.014477,-87.640511,143.123993,0.738889,-89.988569,240.745921
S1008166_R.JPG,33.014416,-87.640642,143.302002,-0.908188,-89.982562,241.206904
S1008169_R.JPG,33.014356,-87.64077,143.268997,-3.022132,-89.997455,241.633854
S1008172_R.JPG,33.014295,-87.640901,143.563004,-0.501801,-89.996834,241.028304
S1008175_R.JPG,33.014234,-87.641031,143.533005,-0.215882,-89.999214,240.748164
S1008178_R.JPG,33.014174,-87.64116,143.417999,0.373727,-89.988009,240.606763
S1008181_R.JPG,33.014114,-87.641288,142.781006,1.198629,-89.98887,241.260389
S1008184_R.JPG,33.014261,-87.641398,142.919998,22.983386,-89.997139,60.946234
S1008187_R.JPG,33.014325,-87.641275,143.108994,7.466978,-89.998148,60.062351
S1008190_R.JPG,33.014387,-87.641144,143.388,7.572127,-89.988015,59.68173
S1008193_R.JPG,33.014448,-87.641011,143.636002,8.581788,-89.998566,60.713661
S1008196_R.JPG,33.01451,-87.64088,143.638,7.391689,-89.99934,61.434377
S1008199_R.JPG,33.01457,-87.64075,143.688004,2.826695,-89.993108,61.870205
S1008202_R.JPG,33.014631,-87.640619,143.791,3.605044,-89.988092,61.547216
S1008205_R.JPG,33.014693,-87.640488,143.654007,5.902485,-89.997511,61.073878
S1008208_R.JPG,33.014754,-87.640357,143.320007,6.262632,-89.998905,60.954474
S1008211_R.JPG,33.014815,-87.640227,143.264008,5.344406,-89.999597,60.844469
S1008214_R.JPG,33.014876,-87.640096,143.151993,5.165565,-89.998965,60.643068
S1008217_R.JPG,33.014937,-87.639964,142.891006,0.846245,-89.996486,61.188128
S1008220_R.JPG,33.015092,-87.640059,142.934006,-19.447805,-89.999335,239.980796
S1008223_R.JPG,33.015037,-87.640188,142.903,-1.262247,-89.999235,240.353945
S1008226_R.JPG,33.014976,-87.64032,143.401001,-1.950675,-89.999213,241.162601
S1008229_R.JPG,33.014913,-87.640453,143.589005,-0.3779,-89.999117,241.287593
S1008232_R.JPG,33.014854,-87.640581,143.591003,-3.536003,-89.999497,241.731871
S1008235_R.JPG,33.014792,-87.640712,143.395004,-3.162484,-89.995132,241.622848
S1008238_R.JPG,33.014729,-87.640847,143.391006,-4.459416,-89.996328,241.72908
S1008241_R.JPG,33.014669,-87.640976,143.625,-1.182471,-89.99279,240.498017
S1008244_R.JPG,33.014607,-87.641108,143.947006,-3.822913,-89.992909,240.47929
S1008247_R.JPG,33.014545,-87.64124,144.018997,0.945108,-89.998038,240.583006
S1008250_R.JPG,33.014485,-87.64137,144.048996,-0.936213,-89.996299,240.468053
S1008253_R.JPG,33.014422,-87.641505,144.013,-4.355133,-89.98949,239.839519
S1008256_R.JPG,33.014571,-87.64161,143.792999,18.214008,-89.995261,60.627316
S1008259_R.JPG,33.014637,-87.641484,144.121002,4.321101,-89.999716,60.910434
S1008262_R.JPG,33.014697,-87.641352,143.828995,3.515065,-89.999005,61.21975
S1008265_R.JPG,33.01476,-87.641219,143.716003,2.367096,-89.998205,60.930222
S1008268_R.JPG,33.014822,-87.641086,143.126999,-0.615378,-89.982005,61.042013
S1008271_R.JPG,33.014884,-87.640954,142.985992,-0.26316,-89.982459,61.64265
S1008274_R.JPG,33.014945,-87.640823,143.162003,1.085246,-89.996909,60.189069
S1008277_R.JPG,33.015007,-87.640691,143.367004,0.316698,-89.999466,59.581192
S1008280_R.JPG,33.015068,-87.64056,143.199997,0.84867,-89.995073,60.993312
S1008283_R.JPG,33.01513,-87.640427,143.119003,-0.10346,-89.993757,61.35809
S1008286_R.JPG,33.015191,-87.640295,142.985001,-1.478358,-89.995599,62.110476
S1008289_R.JPG,33.015253,-87.640163,142.889999,0.934562,-89.995757,61.503051
