Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,ImageWidth,ImageHeight
S1008170.JPG,33.014294,-87.640903,143.561996,-1.189631,-89.997421,240.969798,8192,6144
S1008173.JPG,33.014233,-87.641033,143.498001,-1.118281,-89.999054,241.42502,8192,6144
S1008176.JPG,33.014172,-87.641163,143.365005,-1.951211,-89.993515,241.493788,8192,6144
S1008179.JPG,33.014112,-87.641293,142.882004,-3.328411,-89.992503,240.869669,8192,6144
S1008182.JPG,33.014264,-87.6414,142.977997,16.290348,-89.997587,61.268176,8192,6144
S1008185.JPG,33.014327,-87.641273,143.076004,6.472332,-89.997981,60.214989,8192,6144
S1008188.JPG,33.014388,-87.641143,143.408997,10.820055,-89.99354,60.747454,8192,6144
S1008191.JPG,33.014448,-87.641011,143.630997,4.718456,-89.997838,60.964945,8192,6144
S1008194.JPG,33.01451,-87.64088,143.567001,3.194281,-89.999258,61.218085,8192,6144
S1008197.JPG,33.01457,-87.640749,143.645996,2.558137,-89.995647,61.411482,8192,6144
S1008200.JPG,33.014631,-87.640618,143.757004,3.93131,-89.993639,61.265451,8192,6144
S1008203.JPG,33.014693,-87.640488,143.604004,2.022501,-89.997396,61.057641,8192,6144
S1008206.JPG,33.014754,-87.640357,143.272995,3.250085,-89.997685,61.032958,8192,6144
S1008210.JPG,33.014815,-87.640226,143.186996,1.459955,-89.997335,60.714864,8192,6144
S1008212.JPG,33.014876,-87.640095,143.089996,2.232529,-89.996612,60.590052,8192,6144
S1008215.JPG,33.014937,-87.639964,142.899002,2.371608,-89.998571,60.701976,8192,6144
S1008218.JPG,33.015094,-87.64006,142.919998,-15.674195,-89.993435,240.003939,8192,6144
S1008221.JPG,33.015036,-87.640191,142.973007,-3.307567,-89.998962,241.666721,8192,6144
S1008224.JPG,33.014975,-87.640322,143.416,-2.720468,-89.997948,241.704705,8192,6144
S1008227.JPG,33.014913,-87.640455,143.557007,-0.622061,-89.999532,241.23946,8192,6144
S1008230.JPG,33.014852,-87.640585,143.595001,-3.10607,-89.998669,241.644221,8192,6144
S1008233.JPG,33.014792,-87.640715,143.382996,-8.278498,-89.998483,242.201121,8192,6144
S1008236.JPG,33.014729,-87.640849,143.369995,-6.835549,-89.997711,241.765993,8192,6144
S1008239.JPG,33.014668,-87.640979,143.662003,-3.457162,-89.997676,241.15306,8192,6144
S1008242.JPG,33.014606,-87.641109,144.020996,-1.685251,-89.996114,240.691755,8192,6144
S1008245.JPG,33.014545,-87.641242,144.091995,-0.857528,-89.996116,241.182452,8192,6144
S1008248.JPG,33.014483,-87.641373,144.033005,-1.685109,-89.995992,241.266714,8192,6144
S1008251.JPG,33.014422,-87.641506,144.061996,-3.89472,-89.979877,241.188832,8192,6144
S1008254.JPG,33.014573,-87.641611,143.820999,14.036479,-89.997654,60.384547,8192,6144
S1008257.JPG,33.014637,-87.641484,144.106003,4.706555,-89.996235,60.508006,8192,6144
S1008260.JPG,33.014698,-87.641352,143.806,4.462181,-89.996103,60.779084,8192,6144
S1008263.JPG,33.01476,-87.641219,143.723007,2.751322,-89.9961,60.842151,8192,6144
S1008266.JPG,33.014821,-87.641087,143.113998,-1.531445,-89.997467,61.427428,8192,6144
S1008269.JPG,33.014883,-87.640954,142.992996,-1.881595,-89.978582,62.256374,8192,6144
S1008272.JPG,33.014946,-87.640822,143.190994,2.894155,-89.997689,59.969611,8192,6144
S1008275.JPG,33.015007,-87.64069,143.365997,-2.011212,-89.997517,60.008553,8192,6144
S1008278.JPG,33.015069,-87.640559,143.225998,0.588362,-89.997734,61.87684,8192,6144
S1008281.JPG,33.01513,-87.640427,143.130005,-1.543631,-89.997909,61.499473,8192,6144
S1008284.JPG,33.015192,-87.640294,142.996002,0.390572,-89.996726,62.079607,8192,6144
S1008287.JPG,33.015254,-87.640162,142.904999,-0.181061,-89.991982,60.96598,8192,6144
